date,lastUpdateTime,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,name
2020-03-05,,518,,78,7,,,6284,0,108,43,0,韩国
2020-03-06,,483,,0,1,,,6767,0,108,44,0,韩国
2020-03-07,,367,,10,6,,,7134,0,118,50,0,韩国
2020-03-08,,248,,48,0,,,7382,0,166,50,0,韩国
2020-03-09,,131,,0,3,,,7513,0,166,53,0,韩国
2020-03-10,,242,0.0,122,8,0.0,,7755,0,288,61,0,韩国
2020-03-11,,114,,0,6,,,7869,0,288,67,0,韩国
2020-03-12,,110,,222,1,,,7979,0,510,68,0,韩国
2020-03-13,,107,,204,4,,,8086,0,714,72,0,韩国
2020-03-14,,76,,120,3,,,8162,0,834,75,0,韩国
2020-03-15,,74,,303,0,,,8236,0,1137,75,0,韩国
2020-03-16,,84,0.0,264,6,0.0,,8320,0,1401,81,0,韩国
2020-03-17,,93,,139,3,,,8413,0,1540,84,0,韩国
2020-03-18,,152,0.0,407,7,0.0,,8565,0,1947,91,0,韩国
2020-03-19,,87,,286,3,,,8652,0,2233,94,0,韩国
2020-03-20,,147,,379,8,,,8799,0,2612,102,0,韩国
2020-03-21,,98,,297,2,,,8897,0,2909,104,0,韩国
2020-03-22,,64,,257,7,,,8961,0,3166,111,0,韩国
2020-03-23,,76,,341,9,,,9037,0,3507,120,0,韩国
2020-03-24,,100,,223,6,,,9137,0,3730,126,0,韩国
2020-03-25,,104,,414,5,,,9241,0,4144,131,0,韩国
2020-03-26,,91,,384,8,,,9332,0,4528,139,0,韩国
2020-02-08,,15,0.0,0,0,,,15,0,0,0,0,澳大利亚
2020-02-21,,2,0.0,0,0,,,17,0,0,0,0,澳大利亚
2020-02-25,,6,0.0,0,0,,,23,0,0,0,0,澳大利亚
2020-02-28,,2,0.0,4,0,,,25,0,4,0,0,澳大利亚
2020-02-29,,0,0.0,0,1,,,25,0,4,1,0,澳大利亚
2020-03-01,,3,0.0,0,0,,,28,0,4,1,0,澳大利亚
2020-03-02,,4,0.0,11,0,,,32,0,15,1,0,澳大利亚
2020-03-03,,9,0.0,0,0,0.0,,41,0,15,1,0,澳大利亚
2020-03-04,,3,0.0,0,0,0.0,,44,0,15,1,0,澳大利亚
2020-03-05,,13,0.0,0,1,0.0,,57,0,15,2,0,澳大利亚
2020-03-06,,7,0.0,0,0,0.0,,64,0,15,2,0,澳大利亚
2020-03-07,,10,0.0,0,1,0.0,,74,0,15,3,0,澳大利亚
2020-03-08,,2,0.0,0,0,0.0,,76,0,15,3,0,澳大利亚
2020-03-09,,25,0.0,7,0,0.0,,101,0,22,3,0,澳大利亚
2020-03-10,,16,0.0,0,0,0.0,,117,0,22,3,0,澳大利亚
2020-03-11,,16,0.0,0,0,0.0,,133,0,22,3,0,澳大利亚
2020-03-12,,22,0.0,0,0,0.0,,155,0,22,3,0,澳大利亚
2020-03-13,,81,0.0,0,0,0.0,,236,0,22,3,0,澳大利亚
2020-03-14,,0,0.0,0,2,0.0,,236,0,22,5,0,澳大利亚
2020-03-15,,45,0.0,5,0,0.0,,281,0,27,5,0,澳大利亚
2020-03-16,,87,0.0,0,1,0.0,,368,0,27,6,0,澳大利亚
2020-03-17,,163,0.0,0,0,0.0,,531,0,27,6,0,澳大利亚
2020-03-18,,0,,0,0,,,531,0,27,6,0,澳大利亚
2020-03-19,,105,0.0,0,0,0.0,,636,0,27,6,0,澳大利亚
2020-03-20,,241,0.0,19,1,0.0,,877,0,46,7,0,澳大利亚
2020-03-21,,221,0.0,0,0,0.0,,1098,0,46,7,0,澳大利亚
2020-03-22,,251,0.0,0,0,0.0,,1349,0,46,7,0,澳大利亚
2020-03-23,,360,0.0,0,0,0.0,,1709,0,46,7,0,澳大利亚
2020-03-24,,114,0.0,0,0,0.0,,1823,0,46,7,0,澳大利亚
2020-03-25,,600,0.0,0,1,0.0,,2423,0,46,8,0,澳大利亚
2020-03-27,,743,0.0,148,5,0.0,,3166,0,194,13,0,澳大利亚
2020-02-08,,14,0.0,0,0,,,14,0,0,0,0,德国
2020-02-10,,2,0.0,14,0,,,16,0,14,0,0,德国
2020-02-13,,0,0.0,0,0,,,16,0,1,0,0,德国
2020-02-25,,2,0.0,14,0,,,18,0,15,0,0,德国
2020-02-26,,8,0.0,0,0,,,26,0,15,0,0,德国
2020-02-27,,22,0.0,0,0,,,48,0,15,0,0,德国
2020-02-28,,14,0.0,0,0,,,62,0,15,0,0,德国
2020-02-29,,4,0.0,0,0,,,66,0,15,0,0,德国
2020-03-01,,63,0.0,0,0,,,129,0,15,0,0,德国
2020-03-02,,28,0.0,0,0,,,157,0,15,0,0,德国
2020-03-03,,39,0.0,0,0,0.0,,196,0,15,0,0,德国
2020-03-04,,148,0.0,0,0,0.0,,344,0,15,0,0,德国
2020-03-05,,221,0.0,0,0,0.0,,565,0,15,0,0,德国
2020-03-06,,74,0.0,0,0,0.0,,639,0,15,0,0,德国
2020-03-07,,156,0.0,0,0,0.0,,795,0,15,0,0,德国
2020-03-08,,107,0.0,0,0,0.0,,902,0,15,0,0,德国
2020-03-09,,237,0.0,0,2,0.0,,1139,0,15,2,0,德国
2020-03-10,,385,0.0,0,0,0.0,,1524,0,15,2,0,德国
2020-03-11,,522,0.0,0,1,0.0,,2046,0,15,3,0,德国
2020-03-12,,699,0.0,0,2,0.0,,2745,0,15,5,0,德国
2020-03-13,,930,0.0,31,2,0.0,,3675,0,46,7,0,德国
2020-03-14,,910,0.0,0,1,0.0,,4585,0,46,8,0,德国
2020-03-15,,1228,0.0,3,5,0.0,,5813,0,49,13,0,德国
2020-03-16,,417,0.0,9,1,0.0,,6230,0,58,14,0,德国
2020-03-17,,3027,0.0,77,10,0.0,,9257,0,135,24,0,德国
2020-03-18,,2716,0.0,0,4,0.0,,11973,0,135,28,0,德国
2020-03-19,,2006,0.0,0,14,0.0,,13979,0,135,42,0,德国
2020-03-20,,6120,0.0,67,26,0.0,,20099,0,202,68,0,德国
2020-03-21,,2265,0.0,37,16,0.0,,22364,0,239,84,0,德国
2020-03-22,,4817,0.0,27,10,0.0,,27181,0,266,94,0,德国
2020-03-23,,1875,0.0,156,29,0.0,,29056,0,422,123,0,德国
2020-03-24,,1082,0.0,0,0,0.0,,30138,0,422,123,0,德国
2020-03-25,,7185,0.0,3125,83,0.0,,37323,0,3547,206,0,德国
2020-03-26,,6615,0.0,2126,61,0.0,,43938,0,5673,267,0,德国
2020-03-27,,3435,0.0,0,18,0.0,,47373,0,5673,285,0,德国
2020-02-08,,14,0.0,0,0,,,14,0,0,0,0,美国
2020-02-13,,1,0.0,0,0,,,15,0,0,0,0,美国
2020-02-21,,19,0.0,0,0,,,34,0,0,0,0,美国
2020-02-22,,19,0.0,0,0,,,53,0,0,0,0,美国
2020-02-24,,0,0.0,0,0,,,53,0,0,0,0,美国
2020-02-25,,4,0.0,0,0,,,57,0,0,0,0,美国
2020-02-26,,3,0.0,0,0,,,60,0,0,0,0,美国
2020-02-27,,0,,0,0,,,60,0,0,0,0,美国
2020-02-28,,3,0.0,1,0,,,63,0,1,0,0,美国
2020-02-29,,0,0.0,0,1,,,63,0,1,1,0,美国
2020-03-01,,26,0.0,0,1,,,89,0,1,2,0,美国
2020-03-02,,7,0.0,0,4,,,96,0,1,6,0,美国
2020-03-03,,26,0.0,0,3,0.0,,122,0,1,9,0,美国
2020-03-04,,41,0.0,0,3,0.0,,163,0,1,12,0,美国
2020-03-05,,69,0.0,0,2,0.0,,232,0,1,14,0,美国
2020-03-06,,92,0.0,9,0,0.0,,324,0,10,14,0,美国
2020-03-07,,121,0.0,0,5,0.0,,445,0,10,19,0,美国
2020-03-08,,102,0.0,0,2,0.0,,547,0,10,21,0,美国
2020-03-09,,170,0.0,0,5,0.0,,717,0,10,26,0,美国
2020-03-10,,287,0.0,0,5,0.0,,1004,0,10,31,0,美国
