sex,age,cql,vitalCapacity,zxqdcs,a,zghqls,wzqdcsA,wzqdcsB,wzqdcsC,wzqdcsd,BMI,label
1,3,1.138664506,1.003424658,1.023904382,0.8771331059999999,0.7423014590000001,0.6570743410000001,0.79144385,0.599489796,0.373239437,19.735976492259113,0
1,3,1.317291055,1.049230769,1.024911032,0.84457478,0.8895612709999999,0.7780429590000001,0.922813036,0.417525773,0.375838926,24.304617877396694,0
1,4,1.188854876,0.922330097,0.969924812,0.905263158,0.934375,0.8482587070000001,1.04745167,0.49782608700000003,0.376106195,18.986590720303784,0
1,1,1.211359694,0.9764397909999999,0.895522388,0.8042895440000001,0.811294766,0.556213018,0.89010989,0.487179487,0.379310345,19.433013260173745,0
1,4,1.475899245,1.13836478,1.183150183,0.892265193,1.117917305,1.0820512820000001,1.27399651,0.45560747700000004,0.38020833299999995,23.795359904818568,0
10,6,1.466835954,1.0058651029999999,1.088560886,0.860058309,1.074966533,0.99689441,1.214826021,0.805,0.38125,26.672763298277697,0
1,4,1.324463913,1.126760563,1.082304527,0.821875,1.181669394,0.7688172040000001,1.297445255,0.5373493979999999,0.383561644,25.558846200657225,0
1,2,1.153950432,0.902857143,0.895081967,0.8639240509999999,0.745639535,0.625,0.833881579,0.386842105,0.384057971,18.75,0
10,3,1.657051104,1.012931034,1.0883116879999999,0.8914893620000001,0.8577680529999999,1.246606335,0.9733163909999999,0.601092896,0.384057971,29.402920244578837,0
10,2,1.573385546,0.9960238570000001,1.025761124,0.874251497,0.920081967,0.924,0.95788207,0.497354497,0.384615385,17.50561500858766,0
10,3,1.5073952380000002,0.955947137,0.997382199,0.877880184,1.049396268,1.004385965,1.174358974,0.34082397,0.38805970100000003,24.508945765204306,0
10,3,1.4891409919999998,0.948356808,1.025210084,0.905940594,1.1005714290000002,1.0669745959999999,1.176861702,0.905325444,0.39024390200000003,26.854405574103648,0
1,5,1.40972961,1.133333333,1.078125,0.811764706,1.254746835,0.7275204359999999,1.281867145,0.566985646,0.391534392,25.59373706198954,0
1,5,1.227519878,1.069672131,1.019512195,0.800766283,0.85840708,0.624605678,0.900390625,0.37279597,0.392592593,24.141519250780433,0
1,3,1.3069960379999999,1.028037383,1.0824372759999998,0.915151515,0.8914373090000001,0.93166287,0.977777778,0.606606607,0.39473684200000003,31.640368178829714,0
10,4,1.5900497169999999,0.9336283190000001,1.0190735690000001,0.8862559240000001,1.367531003,1.117936118,1.42357513,0.49886621299999995,0.39644970399999996,25.142857142857146,0
10,5,1.4513099630000001,0.855329949,0.949044586,0.8842729970000001,0.944375773,1.057142857,1.065918654,0.607142857,0.397350993,25.951557093425606,0
10,2,1.7352928369999998,1.114624506,1.147196262,0.8705673759999999,1.216768916,1.138554217,1.356542617,0.80787037,0.39743589700000004,24.489795918367342,0
1,4,1.5463237580000002,1.2861952859999999,1.384313725,0.92408377,1.239616613,1.269035533,1.3600713009999998,0.53968254,0.39860139899999997,25.15315022921823,0
1,6,1.18790933,0.925764192,1.063157895,0.952830189,0.897435897,1.171821306,0.9859154929999999,0.634760705,0.39869281100000004,21.227887617065555,0
1,4,1.221497668,0.855524079,0.8131147540000001,0.821192053,0.90647482,0.528436019,0.7275747509999999,0.544794189,0.39893617,21.00766779874655,0
1,6,1.178706256,0.951310861,0.857777778,0.75984252,0.96969697,0.465408805,0.7685009490000001,0.519031142,0.4,21.719250114311837,0
10,5,1.7054647269999998,1.055928412,1.116666667,0.851694915,0.948630137,1.219387755,1.053524804,0.5068870520000001,0.4,26.47210743801653,0
10,2,1.6097974919999998,0.987473904,1.0717821779999999,0.9154334040000001,0.93418259,1.145263158,0.966459627,0.595454546,0.402439024,25.351541373715524,0
1,4,1.118770208,0.84,0.86770428,0.884920635,0.882725832,0.7049608359999999,0.994642857,0.581993569,0.40404040399999996,19.921875,0
10,5,1.38056232,0.937837838,0.93,0.804034582,0.872151899,0.738764045,0.8352601159999999,0.45380434799999997,0.405594406,24.91076740035693,0
10,6,1.5045999380000001,1.035616438,1.010600707,0.756613757,1.092810458,0.722580645,0.8487518359999999,0.589385475,0.405797101,22.058051188683876,0
1,2,1.355565718,0.9440203559999999,0.994186047,0.9218328840000001,0.9676113359999999,0.8215010140000001,1.081123245,0.46009389700000003,0.407035176,21.61281179138323,0
10,6,1.314120119,0.8924418609999999,0.845588235,0.749185668,0.794392523,0.540625,0.642533937,0.492990654,0.407035176,29.357521924046825,0
1,2,1.3561439659999999,1.144200627,1.187725632,0.901369863,1.110769231,0.931263858,1.213675214,0.428921569,0.407185629,29.903028749626213,0
1,7,1.535881434,1.352657005,1.378698225,0.832142857,1.0383141759999999,1.11637931,1.1347368420000001,0.507772021,0.408536585,24.24391847468771,0
10,4,1.335743528,0.827830189,0.8011363640000001,0.803418803,1.084295612,0.612048193,0.931818182,0.477211796,0.408759124,25.864512471655328,0
1,3,1.136491458,0.9498327759999999,1.007751938,0.915492958,0.944089457,0.817966903,1.0405643740000001,0.566239316,0.40957446799999997,21.641274238227147,0
1,5,1.272278434,1.061776062,0.9954128440000001,0.789090909,1.022298456,0.521875,0.959770115,0.352380952,0.410041841,24.919900320398717,0
1,2,1.500160111,1.084656085,1.1757575759999999,0.946341463,1.034530387,1.107594937,1.192675159,0.406619385,0.41025641,23.306680053067517,0
1,4,1.156221215,0.829431438,0.850980392,0.875,0.847619048,0.5636856370000001,0.958707361,0.607142857,0.41071428600000004,25.14860539551897,0
1,4,1.198107593,0.9,0.9377431909999999,0.8925925929999999,1.0665610140000001,0.723237598,1.1392857140000001,0.5530726260000001,0.410852713,23.828125,0
1,5,1.328821793,1.085271318,1.1376146790000001,0.8857142859999999,1.013769363,0.9604863220000001,1.126195029,0.45810055899999996,0.413533835,23.93606231490121,0
1,5,1.5332005830000002,1.295454545,1.33632287,0.8713450290000001,1.153321976,1.097633136,1.149621212,0.45758928600000004,0.416267943,27.993022029291247,0
1,5,1.293979604,1.050541516,1.029787234,0.83161512,0.857615894,0.691860465,0.76394052,0.43243243200000003,0.418103448,22.65625,0
1,7,1.342137918,1.078341014,1.118644068,0.846153846,0.8728971959999999,0.955947137,0.972916667,0.43003413,0.42105263200000004,23.046875,0
10,4,1.544440749,0.976635514,1.028328612,0.8684210529999999,1.158986175,1.007263923,1.197070573,0.605714286,0.421487603,28.01022373166206,0
1,5,1.149604579,0.9873417720000001,0.944444444,0.7991452990000001,0.811151079,0.588424437,0.786561265,0.45691906,0.421768708,26.56434474616293,0
1,5,1.2906132959999999,0.924187726,0.995726496,0.91015625,1.011570248,1.0182926829999999,1.123364486,0.4906666670000001,0.42361111100000004,26.346494034401,0
1,2,1.3617361769999998,1.04109589,1.0470219440000001,0.878947368,0.72740113,0.835443038,0.791935484,0.740932643,0.42405063299999995,24.46460160337235,0
1,3,1.389191702,0.885117493,0.930722892,0.911504425,1.083333333,0.93018018,1.2608,0.957845433,0.427672956,23.12062359624785,0
1,4,1.176668061,1.007843137,1.115207373,0.9416342409999999,1.113240418,0.9919354840000001,1.207939509,0.450121655,0.42780748700000004,26.479181884587287,0
1,2,1.216750228,1.079470199,1.107279693,0.886503068,0.874403816,0.762672811,0.880910683,0.38658147,0.428571429,19.735976492259113,0
1,4,1.302481684,1.006711409,1.074509804,0.913333333,1.25477707,0.8968253970000001,1.41218638,0.627232143,0.42922374399999996,21.484375,0
10,3,1.369898286,0.919708029,0.9106628240000001,0.8359788359999999,1.1126596979999999,0.733178654,1.047361299,0.612009238,0.43076923100000003,26.346494034401,0
1,4,1.291359004,1.0535117059999999,1.081712062,0.882539683,1.19872814,0.885204082,1.3297682709999998,0.531914894,0.43125,20.429418362441915,0
1,6,1.083650487,0.899122807,0.920634921,0.8487804879999999,0.880733945,0.61,0.8413654620000001,0.5,0.431372549,25.20398137468495,0
10,3,1.62002763,1.053811659,1.110215054,0.878723404,0.970949721,1.0619266059999999,0.93385214,0.54969574,0.431924883,24.913494809688586,0
1,6,1.177361748,0.89787234,1.005128205,0.928909953,0.907942238,0.931271478,0.8922155690000001,0.5664739879999999,0.43231441,21.907582457706194,0
1,3,1.162493353,1.039473684,0.988593156,0.82278481,0.783227848,0.564814815,0.795454545,0.5384615389999999,0.433628319,22.93975069252077,0
1,3,1.347855059,1.0990415340000002,1.243542435,0.979651163,1.412130638,1.514942529,1.570934256,1.078431373,0.435483871,21.0828132906055,0
10,5,1.39654118,0.9216216220000001,0.94,0.826979472,1.092405063,0.926966292,1.060693642,0.711055276,0.43558282200000004,27.885187388459247,0
1,7,1.268237955,1.1686046509999999,1.2408759120000001,0.8457711440000001,1.062761506,0.752252252,0.91091314,0.6259541989999999,0.436363636,23.73995617238861,0
10,6,1.440069499,0.8964646470000001,0.893890675,0.7830985909999999,1.007462687,0.712166172,1.037921348,0.666666667,0.43724696399999996,22.985397512168745,0
1,3,1.3697567169999998,0.982708934,1.006666667,0.885630499,1.085755814,0.694312796,1.140468227,0.801546392,0.437908497,24.023808670084986,0
10,1,1.551162839,1.151724138,1.206806283,0.9201596809999999,0.9015317290000001,1.233532934,1.071521456,0.766763848,0.43902439,20.568806613662428,0
1,6,1.11068052,1.050847458,1.097902098,0.844086021,0.6867219920000001,0.71042471,0.72428884,0.901913876,0.44134078200000004,23.78121284185493,0
10,5,1.4587774919999998,1.052307692,1.1335877859999999,0.8684210529999999,1.038043478,1.097859327,1.14683153,0.510791367,0.44230769200000003,26.838647652619766,0
1,5,1.198893412,0.9927536229999999,0.987179487,0.843065693,0.92192691,0.674220963,0.8923933209999999,0.7432098770000001,0.442424242,17.625380547989106,0
1,6,1.165598695,0.916666667,0.968253968,0.8755980859999999,0.6758241759999999,0.828070175,0.7454545459999999,0.505938242,0.44295302,26.298487836949374,0
10,2,1.5941095809999999,0.972111554,0.954869359,0.8237704920000001,0.9007238879999999,0.782157676,0.905683192,0.669565217,0.444444444,25.50361570247934,0
1,4,1.198233393,0.934640523,0.8697318009999999,0.793706294,0.8056426329999999,0.534574468,0.9039145909999999,0.87037037,0.446540881,21.453573713726524,0
10,5,1.3988231519999998,0.837563452,0.898089172,0.854545455,0.760197775,1.031428571,0.862552595,0.48502994,0.447488585,22.49134948096886,0
1,6,1.224975337,1.0762331840000001,1.07027027,0.825,1.072356215,0.701342282,1.062753036,0.6736401670000001,0.44915254200000004,26.835180055401654,0
1,3,1.3757385480000002,1.125748503,1.096551724,0.8457446809999999,1.08358209,0.7699316629999999,1.198988196,0.36965812,0.45,24.21875,0
1,5,1.423081019,1.209386282,1.1531914890000001,0.8089552240000001,0.9122516559999999,0.7848837209999999,0.94795539,0.606145251,0.451923077,22.265625,0
1,5,1.2958202090000002,1.003787879,1.058558559,0.886792453,0.825127335,0.900621118,0.864761905,0.5009823179999999,0.452488688,23.4375,0
